,test,a,b,mse-0-0,mse-0-1,mse-0-2,mse-0-3,mse-0-4,mse-0-5,mse-0-6,mse-0-7,mse-0-8,mse-0-9,mse-1-0,mse-1-1,mse-1-2,mse-1-3,mse-1-4,mse-1-5,mse-1-6,mse-1-7,mse-1-8,mse-1-9
29,2-9,8.474012493135998,8.081713855511126,8.131363582814915,5.034143873678528,7.756348540020647,3.59072546506001,3.0529275570669654,6.432441051174381,,6.919717873517564,4.480073537044244,6.49619003100895,10.919712452217645,10.155568322937809,11.0393886920361,11.29945995154928,14.033893743576005,19.59167242335441,,17.071385165118482,4.114821934222088,20.192767632489108
30,2-10,13.009648018958421,12.027514113613483,7.175227342056003,2.059044328394593,3.0872119066802566,2.3909535434048084,1.15658023856441,2.3167160461754173,,7.675484695048571,1.3893280065831501,2.454296346956242,18.621592734119975,19.128985471775614,16.080984212468028,4.518573896164625,36.14963645527933,39.3279833170704,,33.69636942023578,2.103629075798121,39.982722892397646
31,2-11,13.031689955408691,12.047602870517832,7.19818190031235,2.059512143430426,3.077750634104124,2.39484796179764,1.1542494173800661,2.313218895009875,,7.692024860633508,1.3843631508826264,2.4505256238905,18.6843789089494,19.18504490488305,16.132563530946964,4.518278251723957,36.27351216047589,39.44598216152087,,33.799943289876985,2.1048267176379456,40.1085955680814
32,2-12,12.962927202542007,11.984794752532938,7.126990166424641,2.05840183877076,3.107197882646554,2.383098905153983,1.161487185620597,2.3242450651358393,,7.640276924787426,1.4000069409994065,2.4623651438099916,18.488763452232106,19.010377770432278,15.971778607059523,4.519713130022221,35.886540497749635,39.077349374931046,,33.47637747366018,2.1015136646193207,39.714981944197376
33,2-13,12.241152982099266,11.558688177335089,6.656064628692363,2.0553122172760645,4.0142991552173495,2.065887311626776,1.54201560959974,2.8833104118550072,,7.7442347582028095,1.694304031435064,3.0396074253918526,16.754754520792048,17.160180981986432,14.921581928867747,4.857284508716727,32.845360246618895,36.37996330351425,,31.233497933682383,1.8862282876561745,37.589916298403715
34,2-14,13.147147931372801,12.154424701751799,7.321702791880132,2.0627186926521244,3.032408402192549,2.4142248947991303,1.1440669464520286,2.2980572440864697,,7.782890366907277,1.3596158412125983,2.4340728441082673,19.01670006402855,19.478419265248757,16.407537933239315,4.520354712701091,36.92884307583083,40.072262337187446,,34.34998408728979,2.1099517200835685,40.78086886022911
35,2-15,12.241536601340812,10.58654011904435,7.665266160747051,3.3917416741782103,2.5624391722530357,4.5814513945684805,1.0131213177608458,2.912670006339416,,6.6600477534906135,1.978047599097484,2.708426404027952,17.548458066658863,20.03899389388126,15.457519367140636,5.92680866531235,31.695283193732156,33.86635561925286,,29.730637927776737,4.7560880757895765,32.94817859142418
36,2-16,13.571709507347084,11.999674800084717,8.00360339594775,2.6599495715113575,2.1045757331407664,3.673781336800304,0.8176771257604578,2.1883650842766897,,7.423567940052889,1.377044742321282,2.137577487985981,20.191305114452945,21.648323762747175,17.289368649769916,4.883681697907098,38.00916959276315,40.38773060544129,,34.95414392751716,3.5146574568692754,40.11744948705637
37,2-17,13.726601325223736,12.135557532208864,8.158573277036982,2.6673758828168745,2.048255646799739,3.7017285289164317,0.8053525198983661,2.171870529544651,,7.534460984904739,1.3479678187572894,2.1182777634021006,20.602243892018553,22.009036431588495,17.629012057630547,4.890781137612479,38.803184007902644,41.149059962721694,,35.62172559919486,3.5263597421893618,40.93061807459937
38,2-18,13.767601037655812,12.17131602769675,8.20087855266465,2.6702965547722,2.033610334299819,3.7102094852787326,0.8022696593953915,2.168253479572268,,7.564032257375253,1.3407807469306976,2.1137716161218965,20.71192783666881,22.10547219152271,17.71993401569593,4.894210510980636,39.01314509532304,41.35023415692241,,35.79845378685488,3.530680941952437,41.1452229233381
39,2-19,13.528972272423587,11.961985241643317,7.962219316893783,2.6588935295999225,2.1204191785252626,3.6671672549071404,0.8212751621549649,2.193705183375496,,7.393227838352562,1.3856037271157517,2.143546983282722,20.078922359724725,21.54977647496286,17.196756189800265,4.883365531147878,37.78995136127555,40.177425005514195,,34.77005522203649,3.5126604669003982,39.892566418787105
40,2-20,9.13357712331135,8.21510979804273,7.915799940068511,4.7633178136337975,5.585981240531319,4.275519983787323,2.070168724169514,4.932257787956854,,5.868907097719414,3.7398010101213437,4.928991826778538,12.302800673500897,12.842741016688201,11.34178483680437,9.743909771522997,17.125679710370115,21.51094019474114,,18.64857685574645,4.634614046126133,20.333156084289108
41,2-21,8.919745144105221,8.020421061070744,8.356632307457591,5.1117826553012025,5.867536801154219,4.50392301160401,2.197888792985253,5.271747754632853,,5.945518208658974,3.99493882612613,5.2612628135039445,12.376607470379353,12.76177261346703,11.507179727431753,10.475921784931108,16.479783761382727,20.989339501959915,,18.282499004131573,4.91118418897097,19.814204031317153
42,2-22,9.283644102623962,8.350660023140595,7.647855983247988,4.541360365897378,5.396776297636238,4.133718025667321,1.9861128187095567,4.712008855873617,,5.8298166227092,3.5731474550464695,4.713267114378401,12.296257678318787,12.938344994155758,11.271457800091726,9.27564921752817,17.623107065764206,21.9214049167334,,18.95410556580453,4.461564473917471,20.747473688285485
43,2-23,8.883217940848786,7.985782459335361,8.44465405831725,5.179041586320298,5.915281847336127,4.551933283935873,2.220277061011205,5.334373495716042,,5.961413895919376,4.041899397205352,5.321878398171558,12.403707614394518,12.76467287968787,11.549747959626387,10.613770049046764,16.384026057408185,20.911779683678162,,18.234077962044793,4.96850405804279,19.735822700841037
44,2-24,9.036514637311425,8.126312983069129,8.10975791340334,4.918589255557181,5.711011003262398,4.378245447118123,2.126710823447188,5.083229985741363,,5.900538021034997,3.8535648625074876,5.0764288995517575,12.329825936582182,12.802593437149099,11.41006635148526,10.06885845578733,16.826086512356348,21.26614816930403,,18.474375781132288,4.758971679207414,20.08700405997708
45,2-25,7.198866445703926,6.397797244952348,15.295762736153906,9.758558103637068,8.81763497217993,7.797186315649929,3.704458041959634,9.491323202997917,,7.895712658227022,7.063683066402766,9.411516433610116,16.76688865906143,15.601955049712593,16.861123661257597,20.128390248921555,15.428181689421741,20.864891605956444,,19.924495087886072,8.84348751896128,20.401732833407955
46,2-26,7.1496590953274275,6.354791540979785,15.571086633864892,9.930829293359865,8.930695884150376,7.906247742120195,3.7641547592590268,9.649853663601416,,7.991677294985311,7.1775934537639365,9.572456914192788,16.976860277780524,15.746421898584469,17.110792208655816,20.50019791807688,15.492574320454073,20.96884112224274,,20.09108858998167,8.977027061005506,20.560611676911357
47,2-27,7.295615352432717,6.484343337562929,14.756682190706423,9.420015513979015,8.60228140944443,7.574840701737472,3.590091277192179,9.182457457251088,,7.711875663145312,6.842019011645558,9.100133362309153,16.355234760159714,15.310108990578275,16.373730390758922,19.40519362622932,15.300641445698204,20.667821068833884,,19.60373243465374,8.57322926387945,20.105055369196503
48,2-28,7.197534522013744,6.39678711152526,15.301862576076143,9.762388161909879,8.820851560240962,7.7989886696744115,3.706041936304074,9.495118958529515,,7.897967424315922,7.066447352189839,9.41550532526326,16.770941987208857,15.603612199874382,16.86615480418149,20.137223358501444,15.427836331016394,20.86624020178766,,19.927118717433196,8.845813182216277,20.404693089698767
49,2-29,7.302459153405229,6.490354612592332,14.72036653403556,9.39713441893633,8.587149168284485,7.5602337785508436,3.5821712144271647,9.161360809197662,,7.699512849139064,6.82684407182445,9.078791021272504,16.328237905279995,15.29198342247428,16.341591840268062,19.355939318571856,15.294220991162494,20.656049495411217,,19.58371675969746,8.555418496658245,20.08643606809549
