time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
1.49,243.920568692346,-9.02800801140801,243.484195116695,1.56557415342333,-2.1,0,-0.7
1.5,243.823895391111,-9.23695076514058,243.547018303896,1.34636154228152,-2.1,0,-0.7
1.51,243.731316303698,-9.14477188117164,243.604979087505,1.12771093635367,-2.1,0,-0.7
1.52,243.646720916726,-8.763563162882,243.658394094984,0.921678122996286,-2.1,0,-0.7
1.53,243.573598585112,-8.11400618423631,243.707701470748,0.737689392027019,-2.1,0,-0.7
1.54,243.514944579301,-7.22439679029516,243.753418553065,0.582374723641675,-2.1,0,-0.7
1.55,243.473185164918,-6.12947016048079,243.79610095014,0.45957979052894,-2.1,0,-0.7
1.56,243.4501230181,-4.86909193922682,243.836305317883,0.370546909583916,-2.1,0,-0.7
1.57,243.446903441961,-3.48687310158778,243.874557726016,0.314239793952774,-2.1,0,-0.7
1.58,243.464001203546,-2.0287541616066,243.911328904689,0.287773206951147,-2.1,0,-0.7
1.59,243.501227352228,-0.541592152600682,243.947016982179,0.286901086871061,-2.1,0,-0.7
1.6,243.557755059166,0.92822510993491,243.981937664424,0.306516852485183,-2.1,0,-0.7
1.61,243.632163258158,2.33611677158179,244.016321256227,0.341126064268625,-2.1,0,-0.7
1.62,243.722496597632,3.64057661818958,244.05031552878,0.38526168915262,-2.1,0,-0.7
1.63,243.826339882395,4.80434368642351,244.083993207029,0.433823212179539,-2.1,0,-0.7
1.64,243.94090478059,5.7954429129215,244.117362765243,0.482330882006184,-2.1,0,-0.7
1.65,244.063126124838,6.58805895946346,244.15038124973,0.527094538478648,-2.1,0,-0.7
1.66,244.189764706936,7.16320663142851,244.182967961278,0.56530252707737,-2.1,0,-0.7
1.67,244.317513127694,7.5091670212124,244.215017997341,0.595040318838576,-2.1,0,-0.7
1.68,244.443101086718,7.62166941382293,244.246414850774,0.615250926935642,-2.1,0,-0.7
1.69,244.563396526927,7.50381352117825,244.277041468917,0.625650354734515,-2.1,0,-0.7
1.7,244.675499295518,7.16574232197851,244.306789379045,0.626611404914736,-2.1,0,-0.7
1.71,244.776824420371,6.62409002248512,244.33556567278,0.619028474308375,-2.1,0,-0.7
1.72,244.865172672211,5.90124024039783,244.363297805446,0.604174678068095,-2.1,0,-0.7
1.73,244.938786717208,5.02443525592717,244.389936301982,0.583560991691386,-2.1,0,-0.7
1.74,244.996391792988,4.02477806992968,244.415455567019,0.558805243288846,-2.1,0,-0.7
1.75,245.037228757075,0.252574490808683,244.439853072979,0.531516870477553,-2.1,0,-0.7
1.76,245.061206283356,0,244.463147248096,0.503201479167173,-2.1,0,-0.7
1.77,245.068968860782,0,244.485374408388,0.475187478070849,-2.1,0,-0.7
1.78,245.061698887895,0,244.506585076991,0.448575463883007,-2.1,0,-0.7
1.79,245.040898380823,0,244.526840014246,0.424209637782853,-2.1,0,-0.7
1.8,245.008221874354,0,244.546206246531,0.402669377642236,-2.1,0,-0.7
1.81,244.96535900966,-2.49761540354229,244.564753335049,0.384278199872925,-2.1,0,-0.7
1.82,244.914028001607,-3.77371176033697,244.582550072009,0.369126738398716,-2.1,0,-0.7
1.83,244.856144194131,-4.353963715648,244.599661734954,0.357106049559583,-2.1,0,-0.7
1.84,244.793827948943,-4.79509847031405,244.616147974388,0.347947506634238,-2.1,0,-0.7
1.85,244.729323415106,-5.0837381969142,244.632061358547,0.341265744091949,-2.1,0,-0.7
1.86,244.664909670482,-5.21265181563985,244.647446554803,0.336601503011666,-2.1,0,-0.7
1.87,244.602818090401,-5.18049261581225,244.662340091477,0.333461759242376,-2.1,0,-0.7
1.88,244.545156695554,-4.99146857864023,244.676770617615,0.331355126661562,-2.1,0,-0.7
1.89,244.493842886625,-4.65489656313922,244.690759561679,0.329821163992436,-2.1,0,-0.7
1.9,244.450545840146,-4.18464698924695,244.704322082456,0.328452827552492,-2.1,0,-0.7
1.91,244.416639602323,-3.59849348269595,244.717468205813,0.326911867227158,-2.1,0,-0.7
1.92,244.393167619753,-2.91738677839094,244.730204047708,0.324937432816644,-2.1,0,-0.7
1.93,244.380819125106,-2.16467446260122,244.742533035613,0.322348528124683,-2.1,0,-0.7
1.94,244.379917478339,-1.36528856917642,244.754457055594,0.319041215459858,-2.1,0,-0.7
1.95,244.390420264435,-0.544922417962506,244.765977469181,0.314981636317341,-2.1,0,-0.7
1.96,244.411930671577,0.270782910216214,244.77709596153,0.310195983652601,-2.1,0,-0.7
1.97,244.443719417143,1.05702296567403,244.787815199128,0.304758550006766,-2.1,0,-0.7
1.98,244.484756248774,1.79056633657797,244.798139290402,0.298778899057168,-2.1,0,-0.7
1.99,244.533749821811,2.45042473837653,244.808074055622,0.292389082186491,-2.1,0,-0.7
2,244.589194545234,3.01843918464165,244.817627122827,0.285731662326514,-2.1,0,-0.7
2.01,244.649422803718,3.47976598167545,244.826807874172,0.278949129855479,-2.1,0,-0.7
2.02,244.712660816062,3.82324857781398,244.835627271917,0.272175113173772,-2.1,0,-0.7
2.03,244.777086294115,4.0416646813425,244.844097595634,0.265527611051588,-2.1,0,-0.7
2.04,244.8408860338,4.13184244888397,244.852232122173,0.259104314316495,-2.1,0,-0.7
2.05,244.902311608694,4.09464462085713,244.86004477808,0.252979947432189,-2.1,0,-0.7
2.06,244.959731447643,3.93482476653013,244.867549790793,0.247205450559541,-2.1,0,-0.7
2.07,245.011677754612,2.81879866495564,244.874761360572,0.24180874177791,-2.1,0,-0.7
2.08,245.056901565003,0,244.881693370145,0.236796747384972,-2.1,0,-0.7
2.09,245.094603694073,0,244.888359143884,0.232158363908955,-2.1,0,-0.7
2.1,245.124547871642,0,244.894771263349,0.227868015557608,-2.1,0,-0.7
2.11,245.146927418501,0,244.900941441411,0.223889491336187,-2.1,0,-0.7
2.12,245.16222120332,0,244.906880453274,0.220179782251766,-2.1,0,-0.7
2.13,245.171083372737,0,244.912598119491,0.21669268611744,-2.1,0,-0.7
2.14,245.174259230744,0,244.918103333775,0.213382000821477,-2.1,0,-0.7
2.15,245.172522989565,0,244.923404126856,0.210204182059876,-2.1,0,-0.7
2.16,245.166633460298,0,244.928507756933,0.207120394977989,-2.1,0,-0.7
2.17,245.157304157652,0,244.933420817242,0.204097937818962,-2.1,0,-0.7
