time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd,r_0
3.41,245.548673772111,0.760762972248234,253.615756392068,0.630687591122903,-1.2,-0.01,-0.7,379
3.42,245.425807237644,0.760762972248234,253.560511130602,0.630687591122903,-1.2,-0.01,-0.7,379
3.422,245.400973171717,0.760762972248234,253.549145730356,0.630687591122903,-1.2,-0.01,-0.7,379
3.43,245.300767711231,0.760762972248234,253.502646482812,0.630687591122903,-1.2,-0.01,-0.7,379
3.44,245.173555192877,0.760762972248234,253.442211989734,0.630687591122903,-1.2,-0.01,-0.7,379
3.45,245.044169682585,0.760762972248234,253.379255169689,0.630687591122903,-1.2,-0.01,-0.7,379
3.46,244.912611180359,0.760762972248234,253.313821495408,0.630687591122903,-1.2,-0.01,-0.7,379
3.47,244.778879686199,0.760762972248234,253.245954416352,0.630687591122903,-1.2,-0.01,-0.7,379
3.48,244.642975200108,0.760762972248234,253.175695410218,0.630687591122903,-1.2,-0.01,-0.7,379
3.481,244.629265236942,-4.08266677969877,253.168539260789,0.630687591122903,-1.2,-0.01,-0.7,379
3.486,244.560391379856,-4.08266677969877,253.13240855915,0.630687591122903,-1.2,-0.01,-0.7,379
3.49,244.504917158971,-4.08266677969877,253.103084052445,0.630687591122903,-1.2,-0.01,-0.7,379
3.5,244.365005787325,-4.08266677969877,253.028158095945,0.630687591122903,-1.2,-0.01,-0.7,379
3.51,244.224031116556,-4.08266677969877,252.950953555763,0.630687591122903,-1.2,-0.01,-0.7,379
3.52,244.083119901189,-4.08266677969877,252.871504795073,0.630687591122903,-1.2,-0.01,-0.7,379
3.53,243.943579755702,-4.08266677969877,252.789844610184,0.630687591122903,-1.2,-0.01,-0.7,379
3.54,243.806783264414,-10.4295765349733,252.706004313051,0.630687591122903,-1.2,-0.01,-0.7,379
3.55,243.67412353637,-10.4295765349733,252.620013810398,0.630687591122903,-1.2,-0.01,-0.7,379
