time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
6.88,244.989619225783,0.000597789240743175,247.513211757933,0,-1,0,-0.75
6.89,244.98976312329,0.000555436289146609,247.544561626405,0,-1,0,-0.75
6.9,244.98990464356,0.000518663835976211,247.576100645717,0,-1,0,-0.75
6.91,244.990043900842,0.000488197020104275,247.607828802811,0,-1,0,-0.75
6.92,244.990181014324,0.000464525471983498,247.639746085066,0,-1,0,-0.75
6.93,244.990316104861,0.000447895130918356,247.671852480295,0,-1,0,-0.75
6.94,244.990449291753,0.000438308630577249,247.704147976718,0,-1,0,-0.75
6.95,244.990580689676,0.000435533908415874,247.736632562959,0,-1,0,-0.75
6.96,244.990710405871,0.000439120485595119,247.769306228026,0,-1,0,-0.75
6.97,244.990838537669,0.000448422548601207,247.802168961299,0,-1,0,-0.75
6.98,244.990965170435,0.000462627838657494,247.835220752519,0,-1,0,-0.75
6.99,244.99109037597,0.000480791142138261,247.868461591775,0,-1,0,-0.75
7,244.991214211432,0.000501871089199055,247.901891469491,0,-1,0,-0.75
7.01,244.991336718767,0.000524768874555744,247.935510376415,0,-1,0,-0.75
7.02,244.991457924672,0.000548367551714887,247.969318303612,0,-1,0,-0.75
7.03,244.991577841065,0.000571570505940335,248.003315242446,0,-1,0,-0.75
7.04,244.991696466023,0.000593337869958268,248.037501184576,0,-1,0,-0.75
7.05,244.99181378515,0.000612719686586348,248.071876121943,0,-1,0,-0.75
7.06,244.991929773304,0.000628884844729196,248.106440046763,0,-1,0,-0.75
7.07,244.992044396615,0.000641144930512112,248.141192951512,0,-1,0,-0.75
7.08,244.992157614717,0.000648972383999261,248.176134828926,0,-1,0,-0.75
7.09,244.992269383109,0.000652012534999536,248.211265671983,0,-1,0,-0.75
7.1,244.99237965556,0.000650089367638326,248.246585473901,0,-1,0,-0.75
7.11,244.992488386474,0.000643204992144493,248.282094228129,0,-1,0,-0.75
7.12,244.99259553314,0.000631533105490861,248.317791928336,0,-1,0,-0.75
7.13,244.992701057794,0.000615406876420536,248.353678568407,0,-1,0,-0.75
7.14,244.992804929426,0.000595301839666192,248.389754142433,0,-1,0,-0.75
7.15,244.992907125284,0.000571814598061046,248.426018644706,0,-1,0,-0.75
7.16,244.993007632032,0.000545638170621194,248.462472069713,0,-1,0,-0.75
7.17,244.993106446545,0.000517534974676595,248.499114412126,0,-1,0,-0.75
7.18,244.993203576306,0.000488308419846971,248.535945666798,0,-1,0,-0.75
7.19,244.993299039436,0.00045877413083369,248.572965828758,0,-1,0,-0.75
7.2,244.993392864335,0.000429731805781024,248.6101748932,0,-1,0,-0.75
7.21,244.993485088997,0.000401938624350043,248.647572855485,0,-1,0,-0.75
7.22,244.993575759998,0.000376085051613162,248.68515971113,0,-1,0,-0.75
7.23,244.993664931232,0.000352773790950327,248.722935455802,0,-1,0,-0.75
7.24,244.993752662432,0.000332502449879398,248.760900085317,0,-1,0,-0.75
7.25,244.993839017537,0.000315650426898766,248.799053595632,0,-1,0,-0.75
7.26,244.993924062968,0.000302470252648982,248.837395982843,0,-1,0,-0.75
7.27,244.99400786587,0.000293083560478211,248.875927243174,0,-1,0,-0.75
7.28,244.994090492394,0.000287481644875375,248.914647372982,0,-1,0,-0.75
7.29,244.994172006052,0.000285530407154641,248.953556368745,0,-1,0,-0.75
7.3,244.994252466227,0.000286979393649873,248.992654227059,0,-1,0,-0.75
7.31,244.994331926862,0.000291474447720527,249.031940944639,0,-1,0,-0.75
7.32,244.994410435369,0.000298573414312511,249.071416518309,0,-1,0,-0.75
7.33,244.994488031802,0.000307764280279467,249.111080945001,0,-1,0,-0.75
7.34,244.994564748292,0.000318485023569915,249.150934221751,0,-1,0,-0.75
7.35,244.994640608767,0.000330144434399998,249.190976345695,0,-1,0,-0.75
7.36,244.994715628957,0.000342143200498532,249.231207314068,0,-1,0,-0.75
7.37,244.994789816661,0.000353894474244616,249.271627124198,0,-1,0,-0.75
7.38,244.994863172275,0.000364843308546032,249.312235773501,0,-1,0,-0.75
7.39,244.994935689538,0.000374484288499476,249.353033259485,0,-1,0,-0.75
7.4,244.995007356477,0.000382376860898263,249.394019579738,0,-1,0,-0.75
7.41,244.995078156496,0.000388157907110666,249.435194731934,0,-1,0,-0.75
7.42,244.995148069584,0.000391551233264066,249.476558713823,0,-1,0,-0.75
7.43,244.995217073587,0.000392373773138499,249.518111523232,0,-1,0,-0.75
7.44,244.995285145493,0.000390538415870988,249.559853158062,0,-1,0,-0.75
7.45,244.995352262703,0.000386053467195887,249.601783616285,0,-1,0,-0.75
7.46,244.995418404232,0.000379018904851697,249.643902895942,0,-1,0,-0.75
7.47,244.995483551803,0.00036961964335102,249.68621099514,0,-1,0,-0.75
